Time	I_Q3
0.00199679	8.98E-06
0.001996795	1.00E-05
0.0019968	9.97E-06
0.001996805	1.10E-05
0.00199681	1.10E-05
0.001996815	1.20E-05
0.00199682	1.20E-05
0.001996825	1.30E-05
0.00199683	1.30E-05
0.001996835	1.39E-05
0.00199684	1.40E-05
0.001996845	1.49E-05
0.00199685	1.50E-05
0.001996855	1.59E-05
0.00199686	1.60E-05
0.001996865	1.70E-05
0.00199687	1.71E-05
0.001996875	1.80E-05
0.00199688	1.81E-05
0.001996885	1.90E-05
0.00199689	1.92E-05
0.001996895	2.00E-05
0.0019969	2.02E-05
0.001996905	2.11E-05
0.00199691	2.13E-05
0.001996915	2.21E-05
0.00199692	2.24E-05
0.001996925	2.31E-05
0.00199693	2.34E-05
0.001996935	2.42E-05
0.00199694	2.45E-05
0.001996945	2.52E-05
0.00199695	2.55E-05
0.001996955	2.62E-05
0.00199696	2.66E-05
0.001996965	2.73E-05
0.00199697	2.77E-05
0.001996975	2.83E-05
0.00199698	2.87E-05
0.001996985	2.93E-05
0.00199699	2.98E-05
0.001996995	3.03E-05
0.001997	3.08E-05
0.001997005	0.002473719
0.00199701	0.340464446
0.001997015	0.332170416
0.00199702	0.097866661
0.001997025	0.094790956
0.00199703	0.328324653
0.001997035	0.340005826
0.00199704	0.103189507
0.001997045	0.076587973
0.00199705	0.308201116
0.001997055	0.448074609
0.00199706	0.256880973
0.001997065	0.266274093
0.00199707	0.234379954
0.001997075	0.284211289
0.00199708	0.335344176
0.001997085	0.387755122
0.00199709	0.441405163
0.001997095	0.496270232
0.0019971	0.552310908
0.001997105	0.609502557
0.00199711	0.66780531
0.001997115	0.727194035
0.00199712	0.78762843
0.001997125	0.849082895
0.00199713	0.91151675
0.001997135	0.974903941
0.00199714	1.039203461
0.001997145	1.104388836
0.00199715	1.170418749
0.001997155	1.237266382
0.00199716	1.304890105
0.001997165	1.373262769
0.00199717	1.442342537
0.001997175	1.512101932
0.00199718	1.582498925
0.001997185	1.653505777
0.00199719	1.725080288
0.001997195	1.797194486
0.0019972	1.869806063
0.001997205	1.94288684
0.00199721	2.016394404
0.001997215	2.090300427
0.00199722	2.164562467
0.001997225	2.239152039
0.00199723	2.314026695
0.001997235	2.389157864
0.00199724	2.46450314
0.001997245	2.540033847
0.00199725	2.615707679
0.001997255	2.691495943
0.00199726	2.767356406
0.001997265	2.843260404
0.00199727	2.919165837
0.001997275	2.995044078
0.00199728	3.070853211
0.001997285	3.146564701
0.00199729	3.222136819
0.001997295	3.297541156
0.0019973	3.372736238
0.001997305	3.447693771
0.00199731	3.522372602
0.001997315	3.596744619
0.00199732	3.670768955
0.001997325	3.744417711
0.00199733	3.817650423
0.001997335	3.890439416
0.00199734	3.9627446
0.001997345	4.034538577
0.00199735	4.105781684
0.001997355	4.176446858
0.00199736	4.246494875
0.001997365	4.315899012
0.00199737	4.384620553
0.001997375	4.452633128
0.00199738	4.519898546
0.001997385	4.586390851
0.00199739	4.652072413
0.001997395	4.716917694
0.0019974	4.780889654
0.001997405	4.843963232
0.00199741	4.906101999
0.001997415	4.96728137
0.00199742	5.027465598
0.001997425	5.086630587
0.00199743	5.144741287
