Time	Ipri_tank
0.001997315	-0.410983631
0.00199732	-0.480474455
0.001997325	-0.549776217
0.00199733	-0.618871923
0.001997335	-0.687744574
0.00199734	-0.756377233
0.001997345	-0.824753101
0.00199735	-0.892855439
0.001997355	-0.96066762
0.00199736	-1.028173131
0.001997365	-1.095355515
0.00199737	-1.162198487
0.001997375	-1.228685818
0.00199738	-1.294801422
0.001997385	-1.360529325
0.00199739	-1.425853696
0.001997395	-1.490758763
0.0019974	-1.555229034
0.001997405	-1.619248962
0.00199741	-1.682803259
0.001997415	-1.745876773
0.00199742	-1.808454471
0.001997425	-1.870521487
0.00199743	-1.932063043
0.001997435	-1.993064643
0.00199744	-2.053511793
0.001997445	-2.113390366
0.00199745	-2.17268618
0.001997455	-2.231385366
0.00199746	-2.289474224
0.001997465	-2.346939141
0.00199747	-2.403766757
0.001997475	-2.459943886
0.00199748	-2.515457538
0.001997485	-2.570294839
0.00199749	-2.624443198
0.001997495	-2.677890194
0.0019975	-2.730623549
0.001997505	-2.78263127
0.00199751	-2.833901533
0.001997515	-2.884422656
0.00199752	-2.934183243
0.001997525	-2.983172124
0.00199753	-3.031378242
0.001997535	-3.078790883
0.00199754	-3.125399473
0.001997545	-3.17119364
0.00199755	-3.216163293
0.001997555	-3.260298541
0.00199756	-3.303589722
0.001997565	-3.346027398
0.00199757	-3.387602362
0.001997575	-3.428305661
0.00199758	-3.468128511
0.001997585	-3.507062502
0.00199759	-3.545099304
0.001997595	-3.58223096
0.0019976	-3.618449654
0.001997605	-3.653747882
0.00199761	-3.688118312
0.001997615	-3.721553924
0.00199762	-3.754048009
0.001997625	-3.785593918
0.00199763	-3.816185398
0.001997635	-3.845816451
0.00199764	-3.874481223
0.001997645	-3.902174257
0.00199765	-3.928890237
0.001997655	-3.954624162
0.00199766	-3.979371257
0.001997665	-4.003127003
0.00199767	-4.025887193
0.001997675	-4.047647849
0.00199768	-4.068405218
0.001997685	-4.088155833
0.00199769	-4.106896483
0.001997695	-4.124624269
0.0019977	-4.141336461
0.001997705	-4.157030673
0.00199771	-4.171704774
0.001997715	-4.185356801
0.00199772	-4.197985135
0.001997725	-4.20958844
0.00199773	-4.220165636
0.001997735	-4.229715785
0.00199774	-4.238238375
0.001997745	-4.245733038
0.00199775	-4.252199801
0.001997755	-4.25763875
0.00199776	-4.262050396
0.001997765	-4.265435507
0.00199777	-4.267794964
0.001997775	-4.269130102
0.00199778	-4.269442371
0.001997785	-4.268733505
0.00199779	-4.267005551
0.001997795	-4.264260753
0.0019978	-4.260501669
0.001997805	-4.255731
0.00199781	-4.249951843
0.001997815	-4.24316741
0.00199782	-4.235381283
